;Size;Metal;Paper;Plastic
1;1;1,09;2,41;0,27
2;2;1,04;7,57;1,41
3;2;2,57;9,55;2,19
4;3;3,02;8,82;2,83
5;2;1,5;8,72;2,19
6;1;2,1;6,96;1,81
7;1;1,93;6,83;0,85
8;3;3,57;11,42;3,05
9;3;2,32;16,08;3,42
10;2;1,89;6,38;2,1
11;2;3,26;13,05;2,93
12;7;3,99;11,36;2,44
13;2;2,04;15,09;2,17
14;3;0,99;2,8;1,41
15;3;2,96;6,44;2
16;1;1,5;5,86;0,93
17;2;2,43;11,08;2,97
18;2;2,97;12,43;2,04
19;2;1,42;6,05;0,65
20;2;3,6;13,61;2,13
21;1;4,48;6,98;0,63
22;1;1,36;14,33;1,53
23;2;2,11;13,31;4,69
24;1;0,41;3,27;0,15
25;2;2,02;6,67;1,45
26;3;3,27;17,65;2,68
27;3;4,95;12,73;3,53
28;2;1;9,83;1,49
29;2;1,55;16,39;2,31
30;2;1,41;6,33;0,92
31;1;1,05;9,19;0,89
32;1;1,31;9,41;0,8
33;1;2,5;9,45;0,72
34;2;2,35;12,32;2,66
35;3;3,69;20,12;4,37
36;1;3,61;7,72;0,92
37;1;1,49;6,16;1,4
38;1;1,36;7,98;1,45
39;1;1,73;9,64;1,68
40;1;0,94;8,08;1,53
41;1;1,33;10,99;1,44
42;2;2,62;13,11;1,44
43;1;1,25;3,26;1,36
44;1;0,26;1,65;0,38
45;2;4,41;10;1,74
46;3;3,22;8,96;2,35
47;2;1,86;9,46;2,3
48;2;1,76;5,88;1,14
49;2;2,83;8,26;2,88
50;2;2,74;12,45;2,13
51;3;4,63;10,58;5,28
52;2;1,7;5,87;1,48
53;3;3,29;8,78;3,36
54;3;1,22;11,03;2,83
55;2;3,2;12,29;2,87
56;3;3,09;20,58;2,96
57;3;2,58;12,56;1,61
58;2;1,67;9,92;1,58
59;1;0,85;3,45;1,15
60;2;1,52;9,09;1,28
61;1;1,37;3,69;0,58
62;1;1,32;2,61;0,74
